patentType,applicantName,year,month,count
发明公开,北京北方华创微电子装备有限公司,2018,1,1
外观专利,中房集团新技术中心有限公司,2006,6,1
发明授权,杭州八鲜禽业有限公司,2013,4,1
发明公开,兴讯科技股份有限公司,2010,12,1
实用新型,天津实发中科百奥工业生物技术有限公司,2009,8,1
实用新型,上海杰乔实业有限公司,2016,10,1
外观专利,株式会社神钢环境舒立净,2006,6,1
实用新型,长葛市正通金属物资有限公司,2017,12,1
发明授权,重庆市电力公司綦南供电局,2012,8,1
发明公开,株式会社自动网络技术研究所,2018,8,1
实用新型,中国华能集团清洁能源技术研究院有限公司,2016,10,1
发明公开,信雅达系统工程股份有限公司,2011,10,1
实用新型,浙江尚瑞特科技有限公司,2017,12,1
发明公开,南京LG同创彩色显示系统有限责任公司,2007,1,1
实用新型,浙江维都利阀门制造有限公司,2008,1,1
外观专利,南京南瑞继保工程技术有限公司,2017,12,1
发明公开,昆山瑞普电气有限公司,2019,3,1
实用新型,浙江欧尔赛斯科技有限公司,2019,6,1
发明公开,国网信息通信产业集团有限公司,2017,8,1
实用新型,隆鑫通用动力股份有限公司,2017,12,1
发明公开,武汉钢铁(集团)公司,2013,9,1
发明公开,惠普开发有限公司,2011,7,1
外观专利,宁波卡帝亚电器有限公司,2017,10,1
实用新型,宁波金欧五金制品有限公司,2015,7,1
发明公开,中国电力科学研究院,2014,1,1
发明公开,国家电网公司,2014,1,1
发明公开,鸿海精密工业股份有限公司,2009,5,1
实用新型,超视界激光科技(苏州)有限公司,2018,7,1
实用新型,马鞍山江心绿洲食品有限公司,2017,3,1
发明公开,上海博泰悦臻电子设备制造有限公司,2013,7,1
实用新型,中国移动通信集团江苏有限公司,2014,6,1
发明公开,青岛艾华隆生物科技有限公司,2014,4,1
实用新型,深圳华苑斯码特科技有限公司,2014,3,1
实用新型,成都九洲迪飞科技有限责任公司,2018,9,1
实用新型,厦门建霖工业有限公司,2013,7,1
实用新型,易瓦特科技股份公司,2017,3,1
实用新型,瑞铁机床(苏州)股份有限公司,2017,3,1
实用新型,安徽有余跨越瓜蒌食品开发有限公司,2018,6,1
发明公开,苏州德龙激光有限公司,2009,10,1
发明授权,通用汽车环球科技运作有限责任公司,2014,11,1
发明公开,无锡气动技术研究所有限公司,2014,3,1
外观专利,广州市俊薇玻璃有限公司,2017,6,1
发明公开,重庆零度智控智能科技有限公司,2017,4,1
实用新型,中铝山东依诺威强磁材料有限公司,2018,1,1
实用新型,索菲亚家居湖北有限公司,2018,2,1
实用新型,安乡中意彩印包装有限责任公司,2018,6,1
实用新型,国网上海市电力公司,2015,12,1
实用新型,青岛海尔工装研制有限公司,2017,6,2
发明公开,皇家飞利浦有限公司,2017,8,1
发明公开,青岛云峰环保科技有限公司,2017,3,1
发明授权,北京小米移动软件有限公司,2018,4,1
实用新型,河南省华宝耐火材料有限公司,2013,7,1
实用新型,资溪县竹富竹业有限公司,2018,6,1
实用新型,松德机械股份有限公司,2015,7,1
实用新型,深圳市瑞丰光电子股份有限公司,2014,7,1
发明授权,京瓷美达株式会社,2012,5,1
发明公开,重庆市长寿区锐旺佳科贸有限公司,2018,7,1
发明授权,璐彩特国际英国有限公司,2014,3,1
实用新型,苏州赛硕拉不锈钢制品有限公司,2018,6,1
实用新型,广州市楚航金属制品有限公司,2018,11,1
发明公开,厦门亿力吉奥信息科技有限公司,2017,8,1
实用新型,中国广核集团有限公司,2014,7,1
实用新型,中广核工程有限公司,2014,7,1
外观专利,株式会社百利达,2010,7,1
发明公开,中芯国际集成电路制造(上海)有限公司,2016,3,1
实用新型,四川九一零科技有限公司,2018,6,1
发明公开,日立电线株式会社,2004,10,1
实用新型,杭州赛峰电子机械制造有限公司,2018,11,1
实用新型,合肥柯金自动化科技股份有限公司,2017,5,1
实用新型,四川澳维采油设备有限公司,2014,7,1
外观专利,张家港市东方特种染色有限公司,2011,6,2
实用新型,山重建机(济宁)有限公司,2014,3,1
实用新型,志昌洋伞(深圳)有限公司,2017,8,1
发明公开,长沙瑞多康生物科技有限公司,2017,3,1
发明公开,无锡中德美联生物技术有限公司,2015,7,1
发明公开,上海新傲科技股份有限公司,2012,11,1
发明授权,福建福光股份有限公司,2018,8,1
实用新型,东莞市鼎力兴电子有限公司,2018,9,1
实用新型,深圳市金尔豪珠宝股份有限公司,2017,8,1
发明公开,中铁建设集团有限公司,2017,10,1
实用新型,舜元建设(集团)有限公司,2018,1,1
发明公开,北京清水润土环保科技有限公司,2017,3,1
发明公开,鸿富锦精密工业(深圳)有限公司,2009,5,1
实用新型,广东梅雁吉祥水电股份有限公司,2015,8,1
外观专利,武进县特种建筑工艺制品厂,1992,3,1
实用新型,胜德国际研发股份有限公司,2007,12,1
发明公开,四川衡为营造实业有限公司,2019,4,1
实用新型,中国西电电气股份有限公司,2015,12,1
实用新型,歌尔声学股份有限公司,2014,3,1
发明公开,株式会社钨钛合金,2015,5,1
发明授权,天津市华宇农药有限公司,2015,4,1
实用新型,深圳市港龙混凝土有限公司,2018,3,1
发明授权,安普泰科电子西班牙股份有限公司,2009,3,1
实用新型,江西伟强铜业科技有限公司,2018,6,1
外观专利,中山市群能光电科技有限公司,2017,10,1
发明授权,中国电子科技集团公司第五十四研究所,2017,3,1
发明授权,广州市第四建筑工程有限公司,2019,4,1
发明公开,佐敦公司,2018,5,1
发明授权,泰科保健集团有限合伙公司,2013,6,1
实用新型,宿迁市豹子头服饰科技有限公司,2017,6,1
发明公开,E.I.内穆尔杜邦公司,2009,10,1
实用新型,上海盛普机械制造有限公司,2018,3,1
实用新型,漯河市邦威橡胶有限公司,2014,5,1
实用新型,深圳市海曼科技有限公司,2018,1,1
实用新型,宁波舒普机电股份有限公司,2017,6,1
实用新型,四川金易管业有限公司,2011,5,1
实用新型,新乡市振英机械设备有限公司,2017,6,1
实用新型,中国水电四局(祥云)机械能源装备有限公司,2016,11,1
实用新型,东阳市乐之翼游乐设备有限公司,2018,9,1
外观专利,上海尚浩数码科技有限公司,2017,9,1
实用新型,新疆城建(集团)股份有限公司,2014,11,1
实用新型,东莞海振爱恩匹电子科技有限公司,2017,6,1
发明公开,英特尔公司,2014,6,1
实用新型,清苑县同业机械制造有限公司,2018,9,1
实用新型,云南天朗环境科技有限公司,2018,7,1
实用新型,浙江广力工程机械有限公司,2016,7,1
外观专利,南海市里水天福水产食品厂,1996,1,1
实用新型,王晨辉,2018,9,1
发明公开,湖南衡山汽车制造有限公司,2013,12,1
发明公开,高通股份有限公司,2016,11,1
实用新型,云晖软件(成都)有限公司,2015,3,1
发明授权,富士电机株式会社,2018,7,1
实用新型,开普洛克(苏州)材料科技有限公司,2018,9,1
发明授权,大赛璐化学工业株式会社,2008,6,1
实用新型,深圳市瑞智信环保科技有限公司,2018,7,1
实用新型,江苏国立医疗器械有限公司,2015,6,1
外观专利,夏普株式会社,2005,7,2
发明公开,北京卫星制造厂,2017,4,1
发明公开,国网山东省电力公司定陶县供电公司,2016,11,1
实用新型,厦门迈拓宝电子有限公司,2018,9,1
实用新型,深圳华明环保科技有限公司,2018,7,1
实用新型,宁波腾隆户外用品有限公司,2013,7,1
实用新型,天津鑫利达自动化科技有限公司,2018,9,1
外观专利,罗海波,2005,7,1
外观专利,李晓峰,2005,7,1
外观专利,上海嘉阳通信科技有限公司,2005,7,1
实用新型,宁波捷胜海洋开发有限公司,2014,7,1
发明公开,南京泽朗生物科技有限公司,2018,12,1
实用新型,天津滨海新区大港天港石油化工厂(普通合伙),2014,2,1
外观专利,上海和兰透平动力技术有限公司,2017,3,1
发明授权,船井电机株式会社,2008,2,1
实用新型,中国石油集团渤海钻探工程有限公司,2015,3,1
实用新型,开县人人有余科技有限公司,2014,5,1
发明公开,索尼株式会社,2012,6,1
发明公开,乔维恩电机株式会社,2002,5,1
实用新型,郑州市蔬菜研究所,2018,9,1
外观专利,重庆伊格斯机械有限公司,2017,3,1
发明公开,成都市国科泰达科技有限公司,2018,7,1
发明公开,山西三益科技有限公司,2011,1,1
实用新型,山西科达自控股份有限公司,2015,3,1
发明公开,震旦(中国)有限公司,2018,7,1
实用新型,常州市博亿工贸有限公司,2014,2,1
发明授权,宁波燎原灯具股份有限公司,2015,9,1
实用新型,重庆双扬牌电器制造有限公司,2014,5,1
发明公开,英华达股份有限公司,2003,11,1
实用新型,江苏丽人木地板有限公司,2014,2,1
发明公开,赛峰飞机发动机公司,2018,12,1
实用新型,杭州杰电电子有限公司,2015,1,1
实用新型,苏州新唯恒自动化科技有限公司,2013,3,1
外观专利,浙江伟超工具制造有限公司,2017,3,1
实用新型,杭州华三通信技术有限公司,2014,5,1
实用新型,罗斯(无锡)设备有限公司,2015,3,1
实用新型,江西舒尔美化妆用品有限公司,2018,11,1
实用新型,广东省南方环保生物科技有限公司,2018,3,1
发明公开,清远市知途自动化科技有限公司,2019,1,1
外观专利,丰顺县培英电声有限公司,2005,6,1
实用新型,西安宇清环境工程科技有限责任公司,2013,7,1
实用新型,仙桃嘉康生物科技有限公司,2018,11,1
发明公开,安徽省天瑞园生态农业科技有限公司,2016,8,1
实用新型,福建荣发石业有限公司,2015,1,1
发明公开,株式会社日立高新技术,2019,2,1
实用新型,天门市德远化工科技有限公司,2018,3,1
发明授权,广东欧珀移动通信有限公司,2018,12,1
发明公开,桂林雪芙莲日化有限公司,2014,1,1
外观专利,玉环县华龙阀门有限公司,2010,2,1
发明公开,枣庄矿业(集团)付村煤业有限公司,2018,4,1
发明公开,北京鼎汉技术股份有限公司,2012,10,1
发明公开,北京市天元网络技术股份有限公司,2011,12,1
发明公开,南京康友医疗科技有限公司,2018,12,1
实用新型,广州金升阳科技有限公司,2018,6,1
发明授权,贵州久联民爆器材发展股份有限公司,2016,6,1
发明授权,福建鑫华股份有限公司,2015,10,1
发明授权,苏德-化学公司,2014,1,1
发明授权,高通股份有限公司,2016,3,1
发明授权,神马实业股份有限公司,2017,6,1
发明授权,冲电气工业株式会社,2017,6,1
发明授权,莫伊克斯公司,2015,10,1
发明授权,东阳市双燕设备有限公司,2014,7,1
发明授权,南昌欧菲光科技有限公司,2017,10,1
外观专利,斯凯杰美国公司,2011,11,1
发明授权,济南和美华饲料有限公司,2014,7,1
发明授权,杭州百富电子技术有限公司,2014,7,1
实用新型,黄石鑫华轮毂有限公司,2015,8,1
发明授权,中冶长天国际工程有限责任公司,2014,7,1
